t_ship,parent,child,lead_time,qty
1,W1,R2,3,87
1,W1,R1,2,155
1,W2,R3,4,274
2,Supplier,W1,5,242
2,Supplier,W2,6,274
2,W1,R2,3,90
2,W1,R1,2,121
2,W2,R3,4,268
3,Supplier,W1,5,211
3,Supplier,W2,6,268
3,W1,R2,3,76
3,W1,R1,2,99
3,W2,R3,4,153
4,Supplier,W1,5,175
4,Supplier,W2,6,153
4,W1,R2,3,83
4,W1,R1,2,105
4,W2,R3,4,188
5,Supplier,W1,5,188
5,Supplier,W2,6,188
5,W1,R2,3,73
5,W1,R1,2,92
5,W2,R3,4,154
6,Supplier,W1,5,165
6,Supplier,W2,6,154
6,W1,R2,3,106
6,W1,R1,2,113
6,W2,R3,4,211
7,Supplier,W1,5,219
7,Supplier,W2,6,211
7,W1,R2,3,91
7,W1,R1,2,110
7,W2,R3,4,204
8,Supplier,W1,5,201
8,Supplier,W2,6,204
8,W1,R2,3,149
8,W1,R1,2,176
8,W2,R3,4,299
9,Supplier,W1,5,325
9,Supplier,W2,6,299
9,W1,R2,3,96
9,W1,R1,2,165
9,W2,R3,4,276
10,Supplier,W1,5,261
10,Supplier,W2,6,276
10,W1,R2,3,113
10,W1,R1,2,95
10,W2,R3,4,224
11,Supplier,W1,5,208
11,Supplier,W2,6,224
11,W1,R2,3,106
11,W1,R1,2,96
11,W2,R3,4,184
12,Supplier,W1,5,202
12,Supplier,W2,6,184
12,W1,R2,3,98
12,W1,R1,2,107
12,W2,R3,4,186
13,Supplier,W1,5,205
13,Supplier,W2,6,186
13,W1,R2,3,93
13,W1,R1,2,119
13,W2,R3,4,157
14,Supplier,W1,5,212
14,Supplier,W2,6,157
14,W1,R2,3,118
14,W1,R1,2,160
14,W2,R3,4,251
15,Supplier,W1,5,278
15,Supplier,W2,6,251
15,W1,R2,3,142
15,W1,R1,2,224
15,W2,R3,4,347
16,Supplier,W1,5,366
16,Supplier,W2,6,347
16,W1,R2,3,155
16,W1,R1,2,226
16,W2,R3,4,332
17,Supplier,W1,5,381
17,Supplier,W2,6,332
17,W1,R2,3,93
17,W1,R1,2,142
17,W2,R3,4,217
18,Supplier,W1,5,235
18,Supplier,W2,6,217
18,W1,R2,3,83
18,W1,R1,2,133
18,W2,R3,4,246
19,Supplier,W1,5,216
19,Supplier,W2,6,246
19,W1,R2,3,77
19,W1,R1,2,126
19,W2,R3,4,182
20,Supplier,W1,5,203
20,Supplier,W2,6,182
20,W1,R2,3,77
20,W1,R1,2,135
20,W2,R3,4,187
21,Supplier,W1,5,212
21,Supplier,W2,6,187
21,W1,R2,3,87
21,W1,R1,2,154
21,W2,R3,4,248
22,Supplier,W1,5,241
22,Supplier,W2,6,248
22,W1,R2,3,100
22,W1,R1,2,204
22,W2,R3,4,304
23,Supplier,W1,5,304
23,Supplier,W2,6,304
23,W1,R2,3,108
23,W1,R1,2,184
23,W2,R3,4,272
24,Supplier,W1,5,292
24,Supplier,W2,6,272
24,W1,R2,3,89
24,W1,R1,2,117
24,W2,R3,4,172
25,Supplier,W1,5,206
25,Supplier,W2,6,172
25,W1,R2,3,83
25,W1,R1,2,139
25,W2,R3,4,212
26,Supplier,W1,5,222
26,Supplier,W2,6,212
26,W1,R2,3,66
26,W1,R1,2,126
26,W2,R3,4,205
27,Supplier,W1,5,192
27,Supplier,W2,6,205
27,W1,R2,3,71
27,W1,R1,2,120
27,W2,R3,4,190
28,Supplier,W1,5,191
28,Supplier,W2,6,190
28,W1,R2,3,99
28,W1,R1,2,156
28,W2,R3,4,233
29,Supplier,W1,5,255
29,Supplier,W2,6,233
29,W1,R2,3,98
29,W1,R1,2,165
29,W2,R3,4,305
30,Supplier,W1,5,263
30,Supplier,W2,6,305
30,W1,R2,3,77
30,W1,R1,2,194
30,W2,R3,4,297
31,Supplier,W1,5,271
31,Supplier,W2,6,297
31,W1,R2,3,70
31,W1,R1,2,119
31,W2,R3,4,168
32,Supplier,W1,5,189
32,Supplier,W2,6,168
32,W1,R2,3,83
32,W1,R1,2,123
32,W2,R3,4,242
33,Supplier,W1,5,206
33,Supplier,W2,6,242
33,W1,R2,3,81
33,W1,R1,2,127
33,W2,R3,4,208
34,Supplier,W1,5,208
34,Supplier,W2,6,208
34,W1,R2,3,102
34,W1,R1,2,149
34,W2,R3,4,203
35,Supplier,W1,5,251
35,Supplier,W2,6,203
35,W1,R2,3,92
35,W1,R1,2,166
35,W2,R3,4,250
36,Supplier,W1,5,258
36,Supplier,W2,6,250
36,W1,R2,3,138
36,W1,R1,2,180
36,W2,R3,4,300
37,Supplier,W1,5,318
37,Supplier,W2,6,300
37,W1,R2,3,125
37,W1,R1,2,179
37,W2,R3,4,313
38,Supplier,W1,5,304
38,Supplier,W2,6,313
38,W1,R2,3,85
38,W1,R1,2,100
38,W2,R3,4,225
39,Supplier,W1,5,185
39,Supplier,W2,6,225
39,W1,R2,3,108
39,W1,R1,2,117
39,W2,R3,4,206
40,Supplier,W1,5,225
40,Supplier,W2,6,206
40,W1,R2,3,84
40,W1,R1,2,136
40,W2,R3,4,196
41,Supplier,W1,5,220
41,Supplier,W2,6,196
41,W1,R2,3,91
41,W1,R1,2,123
41,W2,R3,4,226
42,Supplier,W1,5,214
42,Supplier,W2,6,226
42,W1,R2,3,82
42,W1,R1,2,151
42,W2,R3,4,234
43,Supplier,W1,5,233
43,Supplier,W2,6,234
43,W1,R2,3,100
43,W1,R1,2,180
43,W2,R3,4,345
44,Supplier,W1,5,280
44,Supplier,W2,6,345
44,W1,R2,3,84
44,W1,R1,2,176
44,W2,R3,4,296
45,Supplier,W1,5,260
45,Supplier,W2,6,296
45,W1,R2,3,94
45,W1,R1,2,119
45,W2,R3,4,200
46,Supplier,W1,5,213
46,Supplier,W2,6,200
46,W1,R2,3,77
46,W1,R1,2,116
46,W2,R3,4,257
47,Supplier,W1,5,193
47,Supplier,W2,6,257
47,W1,R2,3,67
47,W1,R1,2,119
47,W2,R3,4,209
48,Supplier,W1,5,186
48,Supplier,W2,6,209
48,W1,R2,3,97
48,W1,R1,2,134
48,W2,R3,4,229
49,Supplier,W1,5,231
49,Supplier,W2,6,229
49,W1,R2,3,84
49,W1,R1,2,121
49,W2,R3,4,228
50,Supplier,W1,5,205
50,Supplier,W2,6,228
50,W1,R2,3,81
50,W1,R1,2,166
50,W2,R3,4,293
51,Supplier,W1,5,247
51,Supplier,W2,6,293
51,W1,R2,3,98
51,W1,R1,2,198
51,W2,R3,4,344
52,Supplier,W1,5,296
52,Supplier,W2,6,344
52,W1,R2,3,69
52,W1,R1,2,142
52,W2,R3,4,207
53,Supplier,W1,5,211
53,Supplier,W2,6,207
53,W1,R2,3,77
53,W1,R1,2,114
53,W2,R3,4,214
54,Supplier,W1,5,191
54,Supplier,W2,6,214
54,W1,R2,3,60
54,W1,R1,2,110
54,W2,R3,4,224
55,Supplier,W1,5,170
55,Supplier,W2,6,224
55,W1,R2,3,65
55,W1,R1,2,112
55,W2,R3,4,208
56,Supplier,W1,5,177
56,Supplier,W2,6,208
56,W1,R2,3,65
56,W1,R1,2,135
56,W2,R3,4,221
57,Supplier,W1,5,200
57,Supplier,W2,6,221
57,W1,R2,3,90
57,W1,R1,2,185
57,W2,R3,4,268
58,Supplier,W1,5,275
58,Supplier,W2,6,268
58,W1,R2,3,83
58,W1,R1,2,195
58,W2,R3,4,271
59,Supplier,W1,5,278
59,Supplier,W2,6,271
59,W1,R2,3,84
59,W1,R1,2,104
59,W2,R3,4,183
60,Supplier,W1,5,188
60,Supplier,W2,6,183
60,W1,R2,3,69
60,W1,R1,2,118
60,W2,R3,4,170
61,Supplier,W1,5,187
61,Supplier,W2,6,170
61,W1,R2,3,88
61,W1,R1,2,104
61,W2,R3,4,175
62,Supplier,W1,5,192
62,Supplier,W2,6,175
62,W1,R2,3,82
62,W1,R1,2,158
62,W2,R3,4,229
63,Supplier,W1,5,240
63,Supplier,W2,6,229
63,W1,R2,3,107
63,W1,R1,2,184
63,W2,R3,4,262
64,Supplier,W1,5,291
64,Supplier,W2,6,262
64,W1,R2,3,121
64,W1,R1,2,195
64,W2,R3,4,312
65,Supplier,W1,5,316
65,Supplier,W2,6,312
65,W1,R2,3,120
65,W1,R1,2,220
65,W2,R3,4,283
66,Supplier,W1,5,340
66,Supplier,W2,6,283
66,W1,R2,3,129
66,W1,R1,2,159
66,W2,R3,4,185
67,Supplier,W1,5,288
67,Supplier,W2,6,185
67,W1,R2,3,83
67,W1,R1,2,124
67,W2,R3,4,205
68,Supplier,W1,5,207
68,Supplier,W2,6,205
68,W1,R2,3,83
68,W1,R1,2,116
68,W2,R3,4,224
69,Supplier,W1,5,199
69,Supplier,W2,6,224
69,W1,R2,3,63
69,W1,R1,2,137
69,W2,R3,4,172
70,Supplier,W1,5,200
70,Supplier,W2,6,172
70,W1,R2,3,67
70,W1,R1,2,155
70,W2,R3,4,224
71,Supplier,W1,5,222
71,Supplier,W2,6,224
71,W1,R2,3,101
71,W1,R1,2,219
71,W2,R3,4,303
72,Supplier,W1,5,320
72,Supplier,W2,6,303
72,W1,R2,3,118
72,W1,R1,2,214
72,W2,R3,4,333
73,Supplier,W1,5,332
73,Supplier,W2,6,333
73,W1,R2,3,97
73,W1,R1,2,127
73,W2,R3,4,246
74,Supplier,W1,5,224
74,Supplier,W2,6,246
74,W1,R2,3,91
74,W1,R1,2,146
74,W2,R3,4,211
75,Supplier,W1,5,237
75,Supplier,W2,6,211
75,W1,R2,3,72
75,W1,R1,2,116
75,W2,R3,4,240
76,Supplier,W1,5,188
76,Supplier,W2,6,240
76,W1,R2,3,65
76,W1,R1,2,145
76,W2,R3,4,202
77,Supplier,W1,5,210
77,Supplier,W2,6,202
77,W1,R2,3,86
77,W1,R1,2,161
77,W2,R3,4,240
78,Supplier,W1,5,247
78,Supplier,W2,6,240
78,W1,R2,3,146
78,W1,R1,2,211
78,W2,R3,4,289
79,Supplier,W1,5,357
79,Supplier,W2,6,289
79,W1,R2,3,124
79,W1,R1,2,210
79,W2,R3,4,303
80,Supplier,W1,5,334
80,Supplier,W2,6,303
80,W1,R2,3,82
80,W1,R1,2,159
80,W2,R3,4,215
81,Supplier,W1,5,241
81,Supplier,W2,6,215
81,W1,R2,3,78
81,W1,R1,2,129
81,W2,R3,4,223
82,Supplier,W1,5,207
82,Supplier,W2,6,223
82,W1,R2,3,84
82,W1,R1,2,138
82,W2,R3,4,242
83,Supplier,W1,5,222
83,Supplier,W2,6,242
83,W1,R2,3,70
83,W1,R1,2,125
83,W2,R3,4,213
84,Supplier,W1,5,195
84,Supplier,W2,6,213
84,W1,R2,3,82
84,W1,R1,2,195
84,W2,R3,4,311
85,Supplier,W1,5,277
85,Supplier,W2,6,311
85,W1,R2,3,121
85,W1,R1,2,215
85,W2,R3,4,339
86,Supplier,W1,5,336
86,Supplier,W2,6,339
86,W1,R2,3,113
86,W1,R1,2,225
86,W2,R3,4,306
87,Supplier,W1,5,338
87,Supplier,W2,6,318
87,W1,R2,3,72
87,W1,R1,2,125
87,W2,R3,4,215
88,Supplier,W1,5,197
88,Supplier,W2,6,229
88,W1,R2,3,67
88,W1,R1,2,105
88,W2,R3,4,209
89,Supplier,W1,5,172
89,Supplier,W2,6,183
89,W1,R2,3,74
89,W1,R1,2,136
89,W2,R3,4,173
